"contestKey","contestLongName","contestKey__1","contestLongName__1","districtKey","districtName","numbertoElect","termYears","isQuestion","countiesParticipating","countiesReported","precinctsParticipating","precinctsReported","precinctsReportedPercent","jurisdictionKey","jurisdictionName","isWriteIn","choiceKey","choiceName","partyKey","partyDisplayorder","partyShortName","totalVotes","jurisdictionVotes","choicePollingPlaceVotes","choiceEarlyVotes","choiceProvisionalVotes","choiceMaricopaVotes"
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,1489,1489,100,0,"State",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,44,44,100,1,"Apache",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,49,49,100,2,"Cochise",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,71,71,100,3,"Coconino",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,39,39,100,4,"Gila",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,22,22,100,5,"Graham",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,8,8,100,6,"Greenlee",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,11,11,100,7,"La Paz",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,743,743,100,8,"Maricopa",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,24,24,100,9,"Mohave",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
1693,"U.S. Senator",1693,"U.S. Senator",1,"Federal Statewide",1,6,FALSE,15,15,14,14,100,10,"Navajo",TRUE,6779,"Bilyeu, Sheila",3,"NULL","DEM",0,0,0,0,0,0
