contestLongName,Pctcd,"Green, Angela","McSally, Martha","Sinema, Kyrsten",total,color
U.S. Senator,AP0002,7,202,81,290,#aa2222
U.S. Senator,AP0003,68,217,1292,1577,#000066
U.S. Senator,AP0005,39,112,601,752,#000066
U.S. Senator,AP0009,38,1002,298,1338,#881111
U.S. Senator,AP0010,10,46,314,370,#000066
U.S. Senator,AP0011,21,76,559,656,#000066
U.S. Senator,AP0012,21,531,85,637,#660000
U.S. Senator,AP0013,24,71,390,485,#000066
U.S. Senator,AP0016,23,679,142,844,#660000
U.S. Senator,AP0017,9,486,108,603,#660000
U.S. Senator,AP0019,66,275,1251,1592,#000066
U.S. Senator,AP0022,15,40,293,348,#000066
U.S. Senator,AP0023,22,67,430,519,#000066
U.S. Senator,AP0025,2,84,41,127,#cc3333
U.S. Senator,AP0027,27,98,408,533,#111188
U.S. Senator,AP0029,25,57,482,564,#000066
U.S. Senator,AP0031,23,55,346,424,#000066
U.S. Senator,AP0033,35,55,668,758,#000066
U.S. Senator,AP0035,13,55,244,312,#000066
U.S. Senator,AP0037,4,12,58,74,#000066
U.S. Senator,AP0039,24,66,620,710,#000066
U.S. Senator,AP0041,5,7,57,69,#000066
U.S. Senator,AP0043,13,58,398,469,#000066
U.S. Senator,AP0045,6,177,78,261,#cc3333
U.S. Senator,AP0046,5,32,214,251,#000066
U.S. Senator,AP0048,51,202,481,734,#3333cc
U.S. Senator,AP0051,5,19,75,99,#111188
U.S. Senator,AP0052,18,75,238,331,#2222aa
U.S. Senator,AP0054,15,66,540,621,#000066
U.S. Senator,AP0056,14,50,322,386,#000066
U.S. Senator,AP0058,11,43,390,444,#000066
U.S. Senator,AP0059,13,398,88,499,#660000
U.S. Senator,AP0061,25,608,213,846,#aa2222
U.S. Senator,AP0065,45,141,850,1036,#000066
U.S. Senator,AP0067,19,37,336,392,#000066
U.S. Senator,AP0070,17,448,185,650,#aa2222
U.S. Senator,AP0074,22,45,539,606,#000066
U.S. Senator,AP0076,9,53,243,305,#000066
U.S. Senator,AP0078,8,33,207,248,#000066
U.S. Senator,AP0080,15,52,261,328,#000066
U.S. Senator,AP0082,32,764,224,1020,#881111
U.S. Senator,AP0084,38,55,656,749,#000066
U.S. Senator,AP0086,18,36,320,374,#000066
U.S. Senator,AP0088,41,125,672,838,#000066
U.S. Senator,CH0001,30,652,333,1015,#cc3333
U.S. Senator,CH0002,41,892,363,1296,#aa2222
U.S. Senator,CH0003,42,706,393,1141,#eb4747
U.S. Senator,CH0004,21,166,752,939,#000066
U.S. Senator,CH0005,27,355,498,880,#8181f5
U.S. Senator,CH0006,33,303,633,969,#3333cc
U.S. Senator,CH0007,8,105,55,168,#eb4747
U.S. Senator,CH0008,38,803,326,1167,#aa2222
U.S. Senator,CH0009,21,119,534,674,#000066
U.S. Senator,CH0010,35,296,710,1041,#3333cc
U.S. Senator,CH0011,32,109,646,787,#000066
U.S. Senator,CH0012,17,101,463,581,#000066
U.S. Senator,CH0013,23,239,446,708,#4747eb
U.S. Senator,CH0014,39,833,329,1201,#aa2222
U.S. Senator,CH0015,16,923,416,1355,#cc3333
U.S. Senator,CH0016,28,320,228,576,#f58181
U.S. Senator,CH0017,11,432,184,627,#cc3333
U.S. Senator,CH0018,14,94,210,318,#3333cc
U.S. Senator,CH0019,20,563,255,838,#cc3333
U.S. Senator,CH0020,13,208,385,606,#4747eb
U.S. Senator,CH0021,13,503,225,741,#cc3333
U.S. Senator,CH0022,3,126,104,233,#ffaaae
U.S. Senator,CH0023,5,118,28,151,#881111
U.S. Senator,CH0024,21,987,302,1310,#881111
U.S. Senator,CH0025,11,216,103,330,#cc3333
U.S. Senator,CH0026,27,840,494,1361,#eb4747
U.S. Senator,CH0027,38,1177,650,1865,#eb4747
U.S. Senator,CH0028,27,521,385,933,#f58181
U.S. Senator,CH0029,27,389,270,686,#f58181
U.S. Senator,CH0030,24,301,212,537,#f58181
U.S. Senator,CH0031,37,634,387,1058,#eb4747
U.S. Senator,CH0032,23,1184,524,1731,#cc3333
U.S. Senator,CH0033,29,713,382,1124,#eb4747
U.S. Senator,CH0034,34,528,359,921,#f58181
U.S. Senator,CH0035,33,886,324,1243,#aa2222
U.S. Senator,CH0036,22,510,340,872,#f58181
U.S. Senator,CH0037,22,754,298,1074,#aa2222
U.S. Senator,CH0038,21,422,283,726,#f58181
U.S. Senator,CH0039,39,569,514,1122,#ffd5d9
U.S. Senator,CH0040,24,941,378,1343,#aa2222
U.S. Senator,CH0041,37,1030,518,1585,#cc3333
U.S. Senator,CH0042,32,562,356,950,#eb4747
U.S. Senator,CH0043,21,1184,464,1669,#aa2222
U.S. Senator,CH0044,35,787,284,1106,#aa2222
U.S. Senator,CH0045,11,265,110,386,#aa2222
U.S. Senator,CH0046,39,1017,355,1411,#aa2222
U.S. Senator,CH0047,14,616,238,868,#aa2222
U.S. Senator,CH0048,12,572,165,749,#881111
U.S. Senator,CH0049,22,358,172,552,#cc3333
U.S. Senator,CN0001,37,220,921,1178,#111188
U.S. Senator,CN0002,38,170,874,1082,#000066
U.S. Senator,CN0003,19,90,712,821,#000066
U.S. Senator,CN0004,27,354,974,1355,#2222aa
U.S. Senator,CN0005,23,516,1152,1691,#3333cc
U.S. Senator,CN0006,31,385,707,1123,#4747eb
U.S. Senator,CN0007,26,327,664,1017,#3333cc
U.S. Senator,CN0008,14,176,519,709,#2222aa
U.S. Senator,CN0009,41,226,697,964,#2222aa
U.S. Senator,CN0010,23,58,283,364,#000066
U.S. Senator,CN0011,26,129,429,584,#111188
U.S. Senator,CN0012,28,99,609,736,#000066
U.S. Senator,CN0013,21,84,352,457,#111188
U.S. Senator,CN0014,35,156,662,853,#111188
U.S. Senator,CN0015,88,435,1236,1759,#2222aa
U.S. Senator,CN0016,40,398,1001,1439,#2222aa
U.S. Senator,CN0017,16,145,266,427,#4747eb
U.S. Senator,CN0018,20,191,314,525,#4747eb
U.S. Senator,CN0019,37,473,805,1315,#4747eb
U.S. Senator,CN0020,28,91,410,529,#000066
U.S. Senator,CN0021,39,599,1114,1752,#4747eb
U.S. Senator,CN0022,46,793,1268,2107,#4747eb
U.S. Senator,CN0023,54,288,661,1003,#3333cc
U.S. Senator,CN0024,48,816,1103,1967,#8181f5
U.S. Senator,CN0025,37,486,852,1375,#4747eb
U.S. Senator,CN0026,37,261,336,634,#8181f5
U.S. Senator,CN0040,12,199,158,369,#f58181
U.S. Senator,CN0041,10,328,115,453,#aa2222
U.S. Senator,CN0042,26,98,460,584,#000066
U.S. Senator,CN0043,26,101,467,594,#000066
U.S. Senator,CN0047,12,47,266,325,#000066
U.S. Senator,CN0048,6,13,159,178,#000066
U.S. Senator,CN0050,33,764,621,1418,#f58181
U.S. Senator,CN0051,1,27,24,52,#ffaaae
U.S. Senator,CN0052,30,749,589,1368,#f58181
U.S. Senator,CN0053,3,92,41,136,#cc3333
U.S. Senator,CN0055,3,109,168,280,#4747eb
U.S. Senator,CN0056,9,246,296,551,#aaaeff
U.S. Senator,CN0058,16,320,82,418,#881111
U.S. Senator,CN0059,20,101,399,520,#111188
U.S. Senator,CN0060,2,5,33,40,#000066
U.S. Senator,CN0061,20,92,223,335,#3333cc
U.S. Senator,CN0062,58,788,1334,2180,#4747eb
U.S. Senator,CN0063,2,92,54,148,#eb4747
U.S. Senator,CN0064,0,6,1,7,#660000
U.S. Senator,CN0065,31,96,530,657,#000066
U.S. Senator,CN0066,16,250,107,373,#cc3333
U.S. Senator,CN0067,26,111,362,499,#111188
U.S. Senator,CN0069,20,114,566,700,#000066
