,pct_Trump,pct_Clinton,pct_Sinema,pct_McSally,pct_CollegeGrad,pct_Less_College,pct_hh_under_50k,pct_50_99k,pct_hh_Over_100k,pct_White,pct_0tive,pct_Other,pct_hispanic
AP0002,0.742268041,0.206185567,0.279310345,0.696551724,0.250746269,0.749253731,0.466666667,0.333333333,0.2,0.977443609,0.002506266,0.012531328,0.882205514
AP0003,0.0875153,0.848837209,0.819277108,0.137603044,0.092093831,0.907906169,0.72745098,0.209803922,0.062745098,0.034227567,0.944495837,0.029139685,0.975023127
AP0005,0.112590799,0.820823245,0.799202128,0.14893617,0.136528029,0.863471971,0.610074627,0.320895522,0.065298507,0.118377088,0.866825776,0.022911695,0.98902148
AP0009,0.800423131,0.160789845,0.222720478,0.748878924,0.147651007,0.852348993,0.632390746,0.222365039,0.143958869,0.829569892,0.055376344,0.197849462,0.876344086
AP0010,0.082294264,0.87032419,0.848648649,0.124324324,0.085403727,0.914596273,0.787401575,0.192913386,0.023622047,0.019961977,0.958174905,0.021863118,0.995247148
AP0011,0.069836553,0.875185736,0.852134146,0.115853659,0.033092037,0.966907963,0.802816901,0.14889336,0.046277666,0.004016064,0.992541595,0.006310958,0.993115318
AP0012,0.885844749,0.086757991,0.133437991,0.833594976,0.052539405,0.946584939,0.635761589,0.228476821,0.135761589,0.913586957,0.015217391,0.120652174,0.729891304
AP0013,0.080808081,0.868686869,0.804123711,0.146391753,0.036199095,0.966063348,0.771573604,0.192893401,0.030456853,0,0.990825688,0.01965924,1
AP0016,0.817596567,0.151287554,0.168246445,0.80450237,0.278169014,0.721830986,0.380952381,0.489326765,0.128078818,0.941805226,0.048099762,0.01543943,0.884204276
AP0017,0.852134146,0.12652439,0.179104478,0.805970149,0.125541126,0.874458874,0.594059406,0.212871287,0.193069307,0.828903654,0.130398671,0.037375415,0.897009967
AP0019,0.148873072,0.774614472,0.78580402,0.172738693,0.104895105,0.895104895,0.735376045,0.17270195,0.091922006,0.039408867,0.902885292,0.0591133,0.989444053
AP0022,0.088948787,0.851752022,0.841954023,0.114942529,0.112175103,0.889192886,0.743034056,0.182662539,0.074303406,0.04050834,0.906274821,0.090548054,0.988880064
AP0023,0.094827586,0.836206897,0.828516378,0.129094412,0.083676269,0.916323731,0.754658385,0.189440994,0.052795031,0.02444795,0.94637224,0.049684543,0.991324921
AP0025,0.713114754,0.278688525,0.322834646,0.661417323,0.245901639,0.754098361,0.462264151,0.330188679,0.198113208,0.96803653,0.01369863,0.01369863,0.885844749
AP0027,0.180530973,0.720353982,0.765478424,0.183864916,0.025027203,0.974972797,0.777493606,0.176470588,0.046035806,0.003541076,0.980169972,0.025495751,0.987252125
AP0029,0.070351759,0.871021776,0.854609929,0.10106383,0.059722222,0.938888889,0.750943396,0.188679245,0.060377358,0.019230769,0.936454849,0.076086957,0.989130435
AP0031,0.117391304,0.780434783,0.816037736,0.129716981,0.060311284,0.941634241,0.816037736,0.160377358,0.023584906,0.013630731,0.973977695,0.009913259,0.991325898
AP0033,0.057668712,0.871165644,0.881266491,0.072559367,0.084645669,0.917322835,0.706140351,0.25877193,0.039473684,0.024051804,0.917668825,0.108233117,0.987974098
AP0035,0.151057402,0.788519637,0.782051282,0.176282051,0.040462428,0.957225434,0.800561798,0.162921348,0.033707865,0.006143345,0.941979522,0.102389078,0.967918089
AP0037,0.130952381,0.785714286,0.783783784,0.162162162,0,0,0,0,0,0,0,0,0
AP0039,0.061077844,0.876646707,0.873239437,0.092957746,0.123859192,0.877444589,0.731343284,0.217910448,0.053731343,0.016231475,0.975299929,0.008468596,0.995765702
AP0041,0.049019608,0.852941176,0.826086957,0.101449275,0.093916756,0.906083244,0.734146341,0.224390244,0.043902439,0.018506701,0.973197192,0.014039566,0.998723676
AP0043,0.088408644,0.844793713,0.848614072,0.123667377,0.044117647,0.954248366,0.824104235,0.146579805,0.029315961,0.003549246,0.98757764,0.016858917,0.999112689
AP0045,0.76344086,0.211469534,0.298850575,0.67816092,0.249056604,0.750943396,0.467532468,0.331168831,0.201298701,0.977777778,0.003174603,0.012698413,0.882539683
AP0046,0.089219331,0.810408922,0.852589641,0.12749004,0,0,0,0,0,0,0,0,0
AP0048,0.296148738,0.634794157,0.655313351,0.27520436,0.075657895,0.923684211,0.742725881,0.196018377,0.062787136,0.083587786,0.845419847,0.085496183,0.954961832
AP0051,0.082644628,0.809917355,0.757575758,0.191919192,0.066176471,0.933823529,0.764890282,0.200626959,0.037617555,0.012259194,0.983362522,0.007880911,0.983362522
AP0052,0.207161125,0.662404092,0.719033233,0.226586103,0.059701493,0.94165536,0.729166667,0.190972222,0.083333333,0.008957655,0.98534202,0.010586319,0.991042345
AP0054,0.06022187,0.882725832,0.869565217,0.106280193,0.082368082,0.917631918,0.744047619,0.214285714,0.044642857,0.014892033,0.978406552,0.011169025,0.998510797
AP0056,0.059665871,0.909307876,0.834196891,0.129533679,0.057803468,0.942196532,0.78525641,0.189102564,0.025641026,0.007003891,0.972762646,0.025680934,0.99844358
AP0058,0.054347826,0.884782609,0.878378378,0.096846847,0.035539216,0.964460784,0.880126183,0.075709779,0.044164038,0.011711126,0.973975277,0.01691607,0.991541965
AP0059,0.846846847,0.118918919,0.176352705,0.79759519,0.25739645,0.74260355,0.461538462,0.348178138,0.190283401,0.885233359,0.047436878,0.088370314,0.693573068
AP0061,0.756461233,0.193836978,0.25177305,0.718676123,0.159030837,0.840969163,0.57239819,0.221719457,0.205882353,0.79875195,0.037441498,0.240561622,0.712948518
AP0065,0.114921223,0.791473587,0.82046332,0.136100386,0.10369902,0.896617136,0.587017874,0.332079022,0.081843838,0.036315905,0.941150733,0.028877707,0.985561146
AP0067,0.092857143,0.802380952,0.857142857,0.094387755,0.092783505,0.907216495,0.794285714,0.148571429,0.06,0.009468318,0.954843409,0.069919883,0.990531682
AP0070,0.745350501,0.207439199,0.284615385,0.689230769,0.140562249,0.860441767,0.489795918,0.385487528,0.124716553,0.849532037,0.05975522,0.159107271,0.723542117
AP0074,0.054208274,0.89871612,0.889438944,0.074257426,0.033264033,0.966735967,0.854910714,0.120535714,0.022321429,0.000625,0.9875,0.021875,0.981875
AP0076,0.18373494,0.686746988,0.796721311,0.173770492,0.041218638,0.958781362,0.786516854,0.176029963,0.041198502,0.005307856,0.992569002,0.002123142,0.972399151
AP0078,0.079136691,0.881294964,0.834677419,0.133064516,0.054621849,0.945378151,0.821428571,0.162946429,0.015625,0.00676819,0.959390863,0.043429216,0.998307953
