"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1106_eb","r1106","r1108","r1109","r1110","r1111","r1112","r1113","r1114","r1115","r1116","r1117","r1119"
1693,"U.S. Senator","Federal Statewide","State",6411,"Green, Angela","GRN",29246,38597,42885,46697,49396,50797,52122,52721,53617,54764,55520,56871,57442
1693,"U.S. Senator","Federal Statewide","Apache",6411,"Green, Angela","GRN",275,775,783,947,947,961,961,961,961,961,961,961,961
1693,"U.S. Senator","Federal Statewide","Cochise",6411,"Green, Angela","GRN",832,1031,1031,1151,1151,1151,1151,1212,1212,1212,1212,1212,1212
1693,"U.S. Senator","Federal Statewide","Coconino",6411,"Green, Angela","GRN",1002,1363,1363,1391,1391,1576,1653,1689,1725,1757,1757,1757,1757
1693,"U.S. Senator","Federal Statewide","Gila",6411,"Green, Angela","GRN",439,539,639,650,674,674,674,674,674,674,674,674,674
1693,"U.S. Senator","Federal Statewide","Graham",6411,"Green, Angela","GRN",295,335,363,363,363,363,363,363,363,363,363,363,363
1693,"U.S. Senator","Federal Statewide","Greenlee",6411,"Green, Angela","GRN",105,108,108,108,108,108,108,108,108,108,108,108,108
1693,"U.S. Senator","Federal Statewide","Maricopa",6411,"Green, Angela","GRN",14999,19738,23472,25371,26970,27856,28307,28758,29419,29958,30697,31800,32371
1693,"U.S. Senator","Federal Statewide","Mohave",6411,"Green, Angela","GRN",1212,1692,1725,1874,1982,1982,1991,2017,2027,2027,2027,2027,2027
1693,"U.S. Senator","Federal Statewide","Navajo",6411,"Green, Angela","GRN",659,1119,1119,1119,1222,1238,1238,1238,1238,1238,1238,1238,1238
1693,"U.S. Senator","Federal Statewide","Pima",6411,"Green, Angela","GRN",5019,6092,6092,6800,7458,7458,7935,7935,7935,8462,8462,8710,8710
1693,"U.S. Senator","Federal Statewide","Pinal",6411,"Green, Angela","GRN",1162,1714,1915,2312,2454,2683,2994,2994,3183,3183,3183,3183,3183
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6411,"Green, Angela","GRN",261,332,332,417,417,417,417,417,417,418,418,418,418
1693,"U.S. Senator","Federal Statewide","Yavapai",6411,"Green, Angela","GRN",2117,2486,2563,2694,2759,2830,2830,2855,2855,2870,2870,2870,2870
1693,"U.S. Senator","Federal Statewide","Yuma",6411,"Green, Angela","GRN",869,1107,1214,1334,1334,1334,1334,1334,1334,1334,1351,1351,1351
1693,"U.S. Senator","Federal Statewide","State",6391,"McSally, Martha","REP",629948,850043,912137,968992,1017091,1039778,1059124,1068913,1082125,1096189,1107108,1127144,1135200
1693,"U.S. Senator","Federal Statewide","Apache",6391,"McSally, Martha","REP",3161,6312,6345,7771,7771,7801,7801,7801,7801,7810,7810,7810,7810
1693,"U.S. Senator","Federal Statewide","Cochise",6391,"McSally, Martha","REP",16937,23974,23974,26148,26148,26148,26148,26928,26928,26929,26929,26929,26929
1693,"U.S. Senator","Federal Statewide","Coconino",6391,"McSally, Martha","REP",12978,15906,15906,16151,16151,17670,18565,18794,19079,19249,19249,19249,19249
1693,"U.S. Senator","Federal Statewide","Gila",6391,"McSally, Martha","REP",8281,10266,11722,11834,12179,12179,12179,12179,12179,12180,12180,12180,12180
1693,"U.S. Senator","Federal Statewide","Graham",6391,"McSally, Martha","REP",5546,6175,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870
1693,"U.S. Senator","Federal Statewide","Greenlee",6391,"McSally, Martha","REP",1227,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416
