"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1106_eb","r1106","r1108","r1109","r1110","r1111","r1112","r1113","r1114","r1115","r1116","r1117","r1119"
1693,"U.S. Senator","Federal Statewide","State",6411,"Green, Angela","GRN",29246,9351,4288,3812,2699,1401,1325,599,896,1147,756,1351,571
1693,"U.S. Senator","Federal Statewide","Apache",6411,"Green, Angela","GRN",275,500,8,164,0,14,0,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Cochise",6411,"Green, Angela","GRN",832,199,0,120,0,0,0,61,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Coconino",6411,"Green, Angela","GRN",1002,361,0,28,0,185,77,36,36,32,0,0,0
1693,"U.S. Senator","Federal Statewide","Gila",6411,"Green, Angela","GRN",439,100,100,11,24,0,0,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Graham",6411,"Green, Angela","GRN",295,40,28,0,0,0,0,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Greenlee",6411,"Green, Angela","GRN",105,3,0,0,0,0,0,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Maricopa",6411,"Green, Angela","GRN",14999,4739,3734,1899,1599,886,451,451,661,539,739,1103,571
1693,"U.S. Senator","Federal Statewide","Mohave",6411,"Green, Angela","GRN",1212,480,33,149,108,0,9,26,10,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Navajo",6411,"Green, Angela","GRN",659,460,0,0,103,16,0,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Pima",6411,"Green, Angela","GRN",5019,1073,0,708,658,0,477,0,0,527,0,248,0
1693,"U.S. Senator","Federal Statewide","Pinal",6411,"Green, Angela","GRN",1162,552,201,397,142,229,311,0,189,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6411,"Green, Angela","GRN",261,71,0,85,0,0,0,0,0,1,0,0,0
1693,"U.S. Senator","Federal Statewide","Yavapai",6411,"Green, Angela","GRN",2117,369,77,131,65,71,0,25,0,15,0,0,0
1693,"U.S. Senator","Federal Statewide","Yuma",6411,"Green, Angela","GRN",869,238,107,120,0,0,0,0,0,0,17,0,0
1693,"U.S. Senator","Federal Statewide","State",6391,"McSally, Martha","REP",629948,220095,62094,56855,48099,22687,19346,9789,13212,14064,10919,20036,8056
1693,"U.S. Senator","Federal Statewide","Apache",6391,"McSally, Martha","REP",3161,3151,33,1426,0,30,0,0,0,9,0,0,0
1693,"U.S. Senator","Federal Statewide","Cochise",6391,"McSally, Martha","REP",16937,7037,0,2174,0,0,0,780,0,1,0,0,0
1693,"U.S. Senator","Federal Statewide","Coconino",6391,"McSally, Martha","REP",12978,2928,0,245,0,1519,895,229,285,170,0,0,0
1693,"U.S. Senator","Federal Statewide","Gila",6391,"McSally, Martha","REP",8281,1985,1456,112,345,0,0,0,0,1,0,0,0
1693,"U.S. Senator","Federal Statewide","Graham",6391,"McSally, Martha","REP",5546,629,695,0,0,0,0,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Greenlee",6391,"McSally, Martha","REP",1227,189,0,0,0,0,0,0,0,0,0,0,0
