"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113"
1693,"U.S. Senator","Federal Statewide","State",6411,"Green, Angela","GRN",29246,38127,42885,46697,49396,50797,52122,52721
1693,"U.S. Senator","Federal Statewide","Apache",6411,"Green, Angela","GRN",275,775,783,947,947,961,961,961
1693,"U.S. Senator","Federal Statewide","Cochise",6411,"Green, Angela","GRN",832,1031,1031,1151,1151,1151,1151,1212
1693,"U.S. Senator","Federal Statewide","Coconino",6411,"Green, Angela","GRN",1002,1363,1363,1391,1391,1576,1653,1689
1693,"U.S. Senator","Federal Statewide","Gila",6411,"Green, Angela","GRN",439,539,639,650,674,674,674,674
1693,"U.S. Senator","Federal Statewide","Graham",6411,"Green, Angela","GRN",295,335,363,363,363,363,363,363
1693,"U.S. Senator","Federal Statewide","Greenlee",6411,"Green, Angela","GRN",105,108,108,108,108,108,108,108
1693,"U.S. Senator","Federal Statewide","Maricopa",6411,"Green, Angela","GRN",14999,19738,23472,25371,26970,27856,28307,28758
1693,"U.S. Senator","Federal Statewide","Mohave",6411,"Green, Angela","GRN",1212,1692,1725,1874,1982,1982,1991,2017
1693,"U.S. Senator","Federal Statewide","Navajo",6411,"Green, Angela","GRN",659,940,1119,1119,1222,1238,1238,1238
1693,"U.S. Senator","Federal Statewide","Pima",6411,"Green, Angela","GRN",5019,6092,6092,6800,7458,7458,7935,7935
1693,"U.S. Senator","Federal Statewide","Pinal",6411,"Green, Angela","GRN",1162,1714,1915,2312,2454,2683,2994,2994
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6411,"Green, Angela","GRN",261,332,332,417,417,417,417,417
1693,"U.S. Senator","Federal Statewide","Yavapai",6411,"Green, Angela","GRN",2117,2195,2563,2694,2759,2830,2830,2855
1693,"U.S. Senator","Federal Statewide","Yuma",6411,"Green, Angela","GRN",869,1107,1214,1334,1334,1334,1334,1334
1693,"U.S. Senator","Federal Statewide","State",6391,"McSally, Martha","REP",629948,839855,912137,968992,1017091,1039778,1059124,1068913
1693,"U.S. Senator","Federal Statewide","Apache",6391,"McSally, Martha","REP",3161,6312,6345,7771,7771,7801,7801,7801
1693,"U.S. Senator","Federal Statewide","Cochise",6391,"McSally, Martha","REP",16937,23974,23974,26148,26148,26148,26148,26928
1693,"U.S. Senator","Federal Statewide","Coconino",6391,"McSally, Martha","REP",12978,15906,15906,16151,16151,17670,18565,18794
1693,"U.S. Senator","Federal Statewide","Gila",6391,"McSally, Martha","REP",8281,10266,11722,11834,12179,12179,12179,12179
1693,"U.S. Senator","Federal Statewide","Graham",6391,"McSally, Martha","REP",5546,6175,6870,6870,6870,6870,6870,6870
1693,"U.S. Senator","Federal Statewide","Greenlee",6391,"McSally, Martha","REP",1227,1416,1416,1416,1416,1416,1416,1416
1693,"U.S. Senator","Federal Statewide","Maricopa",6391,"McSally, Martha","REP",353195,471341,523881,556076,586823,603070,611161,619003
1693,"U.S. Senator","Federal Statewide","Mohave",6391,"McSally, Martha","REP",28728,43667,44393,47136,49445,49445,49594,50070
1693,"U.S. Senator","Federal Statewide","Navajo",6391,"McSally, Martha","REP",10494,14429,16798,16798,18650,18764,18764,18764
1693,"U.S. Senator","Federal Statewide","Pima",6391,"McSally, Martha","REP",97870,129169,129169,137412,146264,146264,152340,152340
1693,"U.S. Senator","Federal Statewide","Pinal",6391,"McSally, Martha","REP",26270,40478,44572,50472,53068,56567,60702,60702
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6391,"McSally, Martha","REP",2307,3257,3257,3827,3827,3827,3827,3827
1693,"U.S. Senator","Federal Statewide","Yavapai",6391,"McSally, Martha","REP",47931,50773,59963,61987,63385,64663,64663,65125
1693,"U.S. Senator","Federal Statewide","Yuma",6391,"McSally, Martha","REP",15023,19787,20966,22189,22189,22189,22189,22189
1693,"U.S. Senator","Federal Statewide","State",6389,"Sinema, Kyrsten","DEM",620091,826845,914243,990177,1045779,1071947,1097321,1107208
1693,"U.S. Senator","Federal Statewide","Apache",6389,"Sinema, Kyrsten","DEM",3931,13162,13385,16148,16148,16284,16284,16284
1693,"U.S. Senator","Federal Statewide","Cochise",6389,"Sinema, Kyrsten","DEM",12047,15009,15009,16736,16736,16736,16736,17380
