"contestKey","contestLongName","districtName","jurisdictionName","choiceKey","choiceName","partyShortName","r1107_eb","r1107","r1108","r1109","r1110","r1111","r1112","r1113","r1107_d","r1108_d","r1109_d","r1110_d","r1111_d","r1112_d","r1113_d"
1693,"U.S. Senator","Federal Statewide","State",6411,"Green, Angela","GRN",29246,38127,42885,46697,49396,50797,52122,52721,8881,4758,3812,2699,1401,1325,599
1693,"U.S. Senator","Federal Statewide","Apache",6411,"Green, Angela","GRN",275,775,783,947,947,961,961,961,500,8,164,0,14,0,0
1693,"U.S. Senator","Federal Statewide","Cochise",6411,"Green, Angela","GRN",832,1031,1031,1151,1151,1151,1151,1212,199,0,120,0,0,0,61
1693,"U.S. Senator","Federal Statewide","Coconino",6411,"Green, Angela","GRN",1002,1363,1363,1391,1391,1576,1653,1689,361,0,28,0,185,77,36
1693,"U.S. Senator","Federal Statewide","Gila",6411,"Green, Angela","GRN",439,539,639,650,674,674,674,674,100,100,11,24,0,0,0
1693,"U.S. Senator","Federal Statewide","Graham",6411,"Green, Angela","GRN",295,335,363,363,363,363,363,363,40,28,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Greenlee",6411,"Green, Angela","GRN",105,108,108,108,108,108,108,108,3,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Maricopa",6411,"Green, Angela","GRN",14999,19738,23472,25371,26970,27856,28307,28758,4739,3734,1899,1599,886,451,451
1693,"U.S. Senator","Federal Statewide","Mohave",6411,"Green, Angela","GRN",1212,1692,1725,1874,1982,1982,1991,2017,480,33,149,108,0,9,26
1693,"U.S. Senator","Federal Statewide","Navajo",6411,"Green, Angela","GRN",659,940,1119,1119,1222,1238,1238,1238,281,179,0,103,16,0,0
1693,"U.S. Senator","Federal Statewide","Pima",6411,"Green, Angela","GRN",5019,6092,6092,6800,7458,7458,7935,7935,1073,0,708,658,0,477,0
1693,"U.S. Senator","Federal Statewide","Pinal",6411,"Green, Angela","GRN",1162,1714,1915,2312,2454,2683,2994,2994,552,201,397,142,229,311,0
1693,"U.S. Senator","Federal Statewide","Santa Cruz",6411,"Green, Angela","GRN",261,332,332,417,417,417,417,417,71,0,85,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Yavapai",6411,"Green, Angela","GRN",2117,2195,2563,2694,2759,2830,2830,2855,78,368,131,65,71,0,25
1693,"U.S. Senator","Federal Statewide","Yuma",6411,"Green, Angela","GRN",869,1107,1214,1334,1334,1334,1334,1334,238,107,120,0,0,0,0
1693,"U.S. Senator","Federal Statewide","State",6391,"McSally, Martha","REP",629948,839855,912137,968992,1017091,1039778,1059124,1068913,209907,72282,56855,48099,22687,19346,9789
1693,"U.S. Senator","Federal Statewide","Apache",6391,"McSally, Martha","REP",3161,6312,6345,7771,7771,7801,7801,7801,3151,33,1426,0,30,0,0
1693,"U.S. Senator","Federal Statewide","Cochise",6391,"McSally, Martha","REP",16937,23974,23974,26148,26148,26148,26148,26928,7037,0,2174,0,0,0,780
1693,"U.S. Senator","Federal Statewide","Coconino",6391,"McSally, Martha","REP",12978,15906,15906,16151,16151,17670,18565,18794,2928,0,245,0,1519,895,229
1693,"U.S. Senator","Federal Statewide","Gila",6391,"McSally, Martha","REP",8281,10266,11722,11834,12179,12179,12179,12179,1985,1456,112,345,0,0,0
1693,"U.S. Senator","Federal Statewide","Graham",6391,"McSally, Martha","REP",5546,6175,6870,6870,6870,6870,6870,6870,629,695,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Greenlee",6391,"McSally, Martha","REP",1227,1416,1416,1416,1416,1416,1416,1416,189,0,0,0,0,0,0
1693,"U.S. Senator","Federal Statewide","Maricopa",6391,"McSally, Martha","REP",353195,471341,523881,556076,586823,603070,611161,619003,118146,52540,32195,30747,16247,8091,7842
1693,"U.S. Senator","Federal Statewide","Mohave",6391,"McSally, Martha","REP",28728,43667,44393,47136,49445,49445,49594,50070,14939,726,2743,2309,0,149,476
