"Pctcd","Ducey, Doug","Sinema, Kyrsten","total","County","DistCD","DistLD","color"
"AP0002",231,81,312,"APACHE",1,7,"#aa2222"
"AP0003",253,1292,1545,"APACHE",1,7,"#000066"
"AP0005",121,601,722,"APACHE",1,7,"#000066"
"AP0009",1103,298,1401,"APACHE",1,7,"#881111"
"AP0010",67,314,381,"APACHE",1,7,"#000066"
"AP0011",133,559,692,"APACHE",1,7,"#000066"
"AP0012",555,85,640,"APACHE",1,7,"#660000"
"AP0013",105,390,495,"APACHE",1,7,"#111188"
"AP0016",725,142,867,"APACHE",1,7,"#660000"
"AP0017",533,108,641,"APACHE",1,7,"#660000"
"AP0019",377,1251,1628,"APACHE",1,7,"#111188"
"AP0022",59,293,352,"APACHE",1,7,"#000066"
"AP0023",89,430,519,"APACHE",1,7,"#000066"
"AP0025",94,41,135,"APACHE",1,7,"#cc3333"
"AP0027",154,408,562,"APACHE",1,7,"#2222aa"
"AP0029",77,482,559,"APACHE",1,7,"#000066"
"AP0031",87,346,433,"APACHE",1,7,"#111188"
"AP0033",89,668,757,"APACHE",1,7,"#000066"
"AP0035",65,244,309,"APACHE",1,7,"#111188"
"AP0037",19,58,77,"APACHE",1,7,"#111188"
"AP0039",76,620,696,"APACHE",1,7,"#000066"
"AP0041",9,57,66,"APACHE",1,7,"#000066"
"AP0043",74,398,472,"APACHE",1,7,"#000066"
"AP0045",205,78,283,"APACHE",1,7,"#aa2222"
"AP0046",52,214,266,"APACHE",1,7,"#000066"
"AP0048",282,481,763,"APACHE",1,7,"#4747eb"
"AP0051",20,75,95,"APACHE",1,7,"#111188"
"AP0052",71,238,309,"APACHE",1,7,"#111188"
"AP0054",85,540,625,"APACHE",1,7,"#000066"
"AP0056",50,322,372,"APACHE",1,7,"#000066"
"AP0058",49,390,439,"APACHE",1,7,"#000066"
"AP0059",437,88,525,"APACHE",1,7,"#660000"
"AP0061",660,213,873,"APACHE",1,7,"#881111"
"AP0065",176,850,1026,"APACHE",1,7,"#000066"
"AP0067",54,336,390,"APACHE",1,7,"#000066"
"AP0070",518,185,703,"APACHE",1,7,"#aa2222"
"AP0074",80,539,619,"APACHE",1,7,"#000066"
"AP0076",49,243,292,"APACHE",1,7,"#000066"
"AP0078",49,207,256,"APACHE",1,7,"#000066"
"AP0080",53,261,314,"APACHE",1,7,"#000066"
"AP0082",866,224,1090,"APACHE",1,7,"#881111"
"AP0084",66,656,722,"APACHE",1,7,"#000066"
"AP0086",74,320,394,"APACHE",1,7,"#000066"
"AP0088",184,672,856,"APACHE",1,7,"#111188"
"CH0001",721,333,1054,"COCHISE",2,14,"#cc3333"
"CH0002",996,363,1359,"COCHISE",2,14,"#aa2222"
"CH0003",807,393,1200,"COCHISE",2,14,"#cc3333"
"CH0004",194,752,946,"COCHISE",2,14,"#111188"
"CH0005",416,498,914,"COCHISE",2,14,"#aaaeff"
"CH0006",368,633,1001,"COCHISE",2,14,"#4747eb"
"CH0007",122,55,177,"COCHISE",2,14,"#cc3333"
"CH0008",881,326,1207,"COCHISE",2,14,"#aa2222"
"CH0009",177,534,711,"COCHISE",2,14,"#111188"
"CH0010",366,710,1076,"COCHISE",2,14,"#3333cc"
"CH0011",145,646,791,"COCHISE",2,14,"#000066"
"CH0012",141,463,604,"COCHISE",2,14,"#111188"
"CH0013",289,446,735,"COCHISE",2,14,"#4747eb"
"CH0014",924,329,1253,"COCHISE",2,14,"#aa2222"
"CH0015",993,416,1409,"COCHISE",2,14,"#aa2222"
"CH0016",382,228,610,"COCHISE",2,14,"#eb4747"
"CH0017",453,184,637,"COCHISE",2,14,"#aa2222"
"CH0018",115,210,325,"COCHISE",2,14,"#4747eb"
"CH0019",614,255,869,"COCHISE",2,14,"#aa2222"
"CH0020",241,385,626,"COCHISE",2,14,"#4747eb"
"CH0021",533,225,758,"COCHISE",2,14,"#aa2222"
"CH0022",135,104,239,"COCHISE",2,14,"#f58181"
"CH0023",125,28,153,"COCHISE",2,14,"#660000"
"CH0024",1055,302,1357,"COCHISE",2,14,"#881111"
"CH0025",231,103,334,"COCHISE",2,14,"#cc3333"
"CH0026",926,494,1420,"COCHISE",2,14,"#cc3333"
"CH0027",1266,650,1916,"COCHISE",2,14,"#cc3333"
"CH0028",581,385,966,"COCHISE",2,14,"#eb4747"
"CH0029",436,270,706,"COCHISE",2,14,"#eb4747"
"CH0030",337,212,549,"COCHISE",2,14,"#eb4747"
"CH0031",703,387,1090,"COCHISE",2,14,"#eb4747"
"CH0032",1293,524,1817,"COCHISE",2,14,"#aa2222"
"CH0033",790,382,1172,"COCHISE",2,14,"#cc3333"
