"contestLongName","Pctcd","Ducey, Doug","Garcia, David","Torres, Angel","total","color"
"Governor","AP0002",231,55,3,286,"#660000"
"Governor","AP0003",253,1251,75,1504,"#000066"
"Governor","AP0005",121,591,39,712,"#000066"
"Governor","AP0009",1103,210,24,1313,"#660000"
"Governor","AP0010",67,292,5,359,"#000066"
"Governor","AP0011",133,502,26,635,"#111188"
"Governor","AP0012",555,71,8,626,"#660000"
"Governor","AP0013",105,351,28,456,"#111188"
"Governor","AP0016",725,114,9,839,"#660000"
"Governor","AP0017",533,62,8,595,"#660000"
"Governor","AP0019",377,1128,76,1505,"#2222aa"
"Governor","AP0022",59,273,12,332,"#000066"
"Governor","AP0023",89,415,21,504,"#000066"
"Governor","AP0025",94,33,3,127,"#aa2222"
"Governor","AP0027",154,352,27,506,"#3333cc"
"Governor","AP0029",77,464,22,541,"#000066"
"Governor","AP0031",87,316,17,403,"#111188"
"Governor","AP0033",89,628,41,717,"#000066"
"Governor","AP0035",65,238,13,303,"#111188"
"Governor","AP0037",19,51,2,70,"#2222aa"
"Governor","AP0039",76,598,31,674,"#000066"
"Governor","AP0041",9,53,4,62,"#000066"
"Governor","AP0043",74,375,11,449,"#000066"
"Governor","AP0045",205,50,6,255,"#660000"
"Governor","AP0046",52,187,9,239,"#111188"
"Governor","AP0048",282,432,27,714,"#4747eb"
"Governor","AP0051",20,75,2,95,"#111188"
"Governor","AP0052",71,231,24,302,"#111188"
"Governor","AP0054",85,514,24,599,"#000066"
"Governor","AP0056",50,313,19,363,"#000066"
"Governor","AP0058",49,377,18,426,"#000066"
"Governor","AP0059",437,52,13,489,"#660000"
"Governor","AP0061",660,159,23,819,"#660000"
"Governor","AP0065",176,817,48,993,"#000066"
"Governor","AP0067",54,322,17,376,"#000066"
"Governor","AP0070",518,121,13,639,"#660000"
"Governor","AP0074",80,503,20,583,"#000066"
"Governor","AP0076",49,245,13,294,"#000066"
"Governor","AP0078",49,183,14,232,"#111188"
"Governor","AP0080",53,264,11,317,"#000066"
"Governor","AP0082",866,135,19,1001,"#660000"
"Governor","AP0084",66,658,29,724,"#000066"
"Governor","AP0086",74,277,18,351,"#111188"
"Governor","AP0088",184,617,40,801,"#111188"
"Governor","CH0001",721,260,41,981,"#aa2222"
"Governor","CH0002",996,268,36,1264,"#881111"
"Governor","CH0003",807,299,28,1106,"#aa2222"
"Governor","CH0004",194,719,25,913,"#111188"
"Governor","CH0005",416,435,30,851,"#d5d9ff"
"Governor","CH0006",368,561,40,929,"#4747eb"
"Governor","CH0007",122,41,6,163,"#aa2222"
"Governor","CH0008",881,252,31,1133,"#881111"
"Governor","CH0009",177,479,16,656,"#2222aa"
"Governor","CH0010",366,650,22,1016,"#4747eb"
"Governor","CH0011",145,610,26,755,"#000066"
"Governor","CH0012",141,417,20,558,"#2222aa"
"Governor","CH0013",289,397,18,686,"#8181f5"
"Governor","CH0014",924,234,40,1158,"#881111"
"Governor","CH0015",993,337,20,1330,"#aa2222"
"Governor","CH0016",382,170,24,552,"#cc3333"
"Governor","CH0017",453,155,15,608,"#aa2222"
"Governor","CH0018",115,192,11,307,"#4747eb"
"Governor","CH0019",614,195,30,809,"#881111"
"Governor","CH0020",241,348,18,589,"#8181f5"
"Governor","CH0021",533,191,13,724,"#aa2222"
"Governor","CH0022",135,94,5,229,"#f58181"
"Governor","CH0023",125,23,3,148,"#660000"
"Governor","CH0024",1055,226,23,1281,"#660000"
"Governor","CH0025",231,86,11,317,"#aa2222"
"Governor","CH0026",926,414,21,1340,"#cc3333"
"Governor","CH0027",1266,553,41,1819,"#cc3333"
"Governor","CH0028",581,309,38,890,"#cc3333"
"Governor","CH0029",436,225,18,661,"#cc3333"
"Governor","CH0030",337,173,23,510,"#cc3333"
"Governor","CH0031",703,333,27,1036,"#cc3333"
"Governor","CH0032",1293,409,29,1702,"#881111"
"Governor","CH0033",790,306,27,1096,"#aa2222"
"Governor","CH0034",601,285,34,886,"#cc3333"
"Governor","CH0035",948,260,26,1208,"#881111"
"Governor","CH0036",565,281,21,846,"#cc3333"
"Governor","CH0037",792,247,29,1039,"#881111"
"Governor","CH0038",466,232,25,698,"#cc3333"
"Governor","CH0039",649,427,40,1076,"#eb4747"
"Governor","CH0040",980,330,25,1310,"#aa2222"
"Governor","CH0041",1092,446,40,1538,"#aa2222"
"Governor","CH0042",639,281,31,920,"#cc3333"
"Governor","CH0043",1248,400,19,1648,"#881111"
"Governor","CH0044",862,211,37,1073,"#660000"
"Governor","CH0045",271,98,13,369,"#aa2222"
"Governor","CH0046",1078,283,44,1361,"#881111"
"Governor","CH0047",672,174,19,846,"#881111"
"Governor","CH0048",614,128,6,742,"#660000"
"Governor","CH0049",405,132,16,537,"#881111"
"Governor","CN0001",257,893,24,1150,"#111188"
"Governor","CN0002",211,839,26,1050,"#111188"
"Governor","CN0003",106,698,13,804,"#000066"
"Governor","CN0004",404,928,19,1332,"#3333cc"
"Governor","CN0005",604,1058,32,1662,"#4747eb"
"Governor","CN0006",437,649,26,1086,"#8181f5"
"Governor","CN0007",378,606,12,984,"#4747eb"
"Governor","CN0008",217,481,13,698,"#3333cc"
"Governor","CN0009",255,664,34,919,"#2222aa"
"Governor","CN0010",51,253,12,304,"#000066"
"Governor","CN0011",181,383,17,564,"#3333cc"
"Governor","CN0012",113,590,25,703,"#000066"
"Governor","CN0013",68,326,7,394,"#000066"
"Governor","CN0014",165,632,23,797,"#111188"
"Governor","CN0015",512,1178,73,1690,"#3333cc"
"Governor","CN0016",497,901,38,1398,"#4747eb"
"Governor","CN0017",173,245,10,418,"#8181f5"
"Governor","CN0018",224,281,21,505,"#8181f5"
"Governor","CN0019",553,735,28,1288,"#8181f5"
"Governor","CN0020",90,384,12,474,"#000066"
"Governor","CN0021",672,1029,38,1701,"#4747eb"
"Governor","CN0022",889,1175,42,2064,"#8181f5"
"Governor","CN0023",349,606,40,955,"#4747eb"
"Governor","CN0024",925,1003,33,1928,"#d5d9ff"
"Governor","CN0025",546,795,30,1341,"#8181f5"
"Governor","CN0026",306,304,26,610,"#ffd5d9"
"Governor","CN0040",214,145,13,359,"#f58181"
"Governor","CN0041",363,88,3,451,"#660000"
"Governor","CN0042",193,357,28,550,"#4747eb"
"Governor","CN0043",175,399,19,574,"#3333cc"
"Governor","CN0047",86,226,11,312,"#2222aa"
"Governor","CN0048",32,141,5,173,"#000066"
"Governor","CN0050",845,542,30,1387,"#eb4747"
"Governor","CN0051",29,21,2,50,"#f58181"
"Governor","CN0052",818,524,22,1342,"#eb4747"
"Governor","CN0053",109,25,2,134,"#660000"
"Governor","CN0055",125,153,3,278,"#8181f5"
"Governor","CN0056",273,271,6,544,"#ffd5d9"
"Governor","CN0058",345,68,9,413,"#660000"
"Governor","CN0059",146,359,11,505,"#2222aa"
"Governor","CN0060",8,34,0,42,"#000066"
"Governor","CN0061",128,196,9,324,"#4747eb"
"Governor","CN0062",893,1216,60,2109,"#8181f5"
"Governor","CN0063",98,46,2,144,"#cc3333"
"Governor","CN0064",6,2,0,8,"#881111"
"Governor","CN0065",166,463,27,629,"#2222aa"
"Governor","CN0066",298,69,6,367,"#660000"
"Governor","CN0067",182,293,21,475,"#4747eb"
"Governor","CN0069",229,449,23,678,"#3333cc"
"Governor","CN0070",57,97,8,154,"#4747eb"
"Governor","CN0071",30,49,3,79,"#4747eb"
"Governor","CN0072",386,183,24,569,"#cc3333"
"Governor","CN0073",406,196,18,602,"#cc3333"
"Governor","CN0074",219,188,18,407,"#ffaaae"
"Governor","CN0075",505,262,20,767,"#cc3333"
"Governor","CN0079",535,208,14,743,"#aa2222"
"Governor","CN0080",424,202,11,626,"#cc3333"
"Governor","CN0082",292,371,14,663,"#8181f5"
"Governor","CN0083",564,640,18,1204,"#aaaeff"
"Governor","CN0084",236,128,3,364,"#eb4747"
"Governor","CN0085",752,488,35,1240,"#eb4747"
"Governor","CN0086",107,52,3,159,"#cc3333"
"Governor","CN0088",68,159,11,227,"#2222aa"
"Governor","CN0090",202,747,51,949,"#111188"
"Governor","CN0092",657,518,38,1175,"#f58181"
"Governor","CN0093",128,382,16,510,"#2222aa"
"Governor","CN0094",89,293,20,382,"#111188"
"Governor","CN0095",400,1175,73,1575,"#2222aa"
"Governor","CN0097",247,139,14,386,"#eb4747"
"Governor","CN0098",1110,340,27,1450,"#881111"
"Governor","CN0099",420,172,15,592,"#aa2222"
"Governor","GI0100",260,89,10,349,"#aa2222"
"Governor","GI0105",81,62,5,143,"#f58181"
"Governor","GI0110",42,36,3,78,"#ffaaae"
"Governor","GI0115",220,151,17,371,"#f58181"
"Governor","GI0120",351,181,10,532,"#cc3333"
"Governor","GI0125",204,80,10,284,"#aa2222"
"Governor","GI0130",169,130,21,299,"#f58181"
"Governor","GI0135",342,114,10,456,"#881111"
"Governor","GI0140",342,168,8,510,"#cc3333"
"Governor","GI0150",153,78,13,231,"#cc3333"
"Governor","GI0155",136,158,17,294,"#aaaeff"
"Governor","GI0160",346,93,21,439,"#881111"
"Governor","GI0165",270,126,11,396,"#cc3333"
"Governor","GI0170",148,98,10,246,"#eb4747"
"Governor","GI0175",161,73,9,234,"#cc3333"
"Governor","GI0180",122,46,4,168,"#aa2222"
"Governor","GI0185",65,18,1,83,"#881111"
"Governor","GI0200",575,146,11,721,"#881111"
"Governor","GI0205",992,268,27,1260,"#881111"
"Governor","GI0210",1492,423,39,1915,"#881111"
"Governor","GI0215",544,183,6,727,"#aa2222"
"Governor","GI0220",871,259,21,1130,"#881111"
"Governor","GI0225",528,174,18,702,"#881111"
"Governor","GI0230",422,126,19,548,"#881111"
"Governor","GI0235",681,202,22,883,"#881111"
"Governor","GI0240",1310,296,19,1606,"#660000"
"Governor","GI0300",142,248,14,390,"#4747eb"
"Governor","GI0305",248,55,6,303,"#660000"
"Governor","GI0310",335,91,11,426,"#881111"
"Governor","GI0315",937,294,19,1231,"#881111"
"Governor","GI0320",119,19,3,138,"#660000"
"Governor","GI0325",75,15,1,90,"#660000"
"Governor","GI0330",715,129,11,844,"#660000"
"Governor","GI0335",140,37,3,177,"#881111"
"Governor","GI0340",340,51,1,391,"#660000"
"Governor","GI0345",309,90,5,399,"#881111"
"Governor","GI0400",54,184,4,238,"#111188"
"Governor","GI0405",4,10,0,14,"#2222aa"
"Governor","GI0410",199,622,28,821,"#111188"
"Governor","GM0001",417,164,21,581,"#aa2222"
"Governor","GM0002",542,238,16,780,"#cc3333"
"Governor","GM0003",297,70,9,367,"#660000"
"Governor","GM0004",208,117,11,325,"#eb4747"
"Governor","GM0005",594,219,21,813,"#aa2222"
"Governor","GM0006",423,80,4,503,"#660000"
"Governor","GM0007",852,197,20,1049,"#660000"
"Governor","GM0008",332,21,3,353,"#660000"
"Governor","GM0009",1182,179,29,1361,"#660000"
"Governor","GM0010",166,19,1,185,"#660000"
"Governor","GM0011",120,424,33,544,"#111188"
"Governor","GM0012",31,12,2,43,"#aa2222"
"Governor","GM0013",106,9,0,115,"#660000"
"Governor","GM0014",164,27,7,191,"#660000"
"Governor","GM0015",614,279,33,893,"#cc3333"
"Governor","GM0016",57,185,14,242,"#111188"
"Governor","GM0017",106,31,2,137,"#881111"
"Governor","GM0018",601,124,15,725,"#660000"
"Governor","GM0019",539,93,24,632,"#660000"
"Governor","GM0020",362,65,9,427,"#660000"
"Governor","GM0021",49,10,1,59,"#660000"
"Governor","GM0022",14,6,1,20,"#cc3333"
"Governor","GN0001",14,0,0,14,"#660000"
"Governor","GN0002",32,1,0,33,"#660000"
"Governor","GN0003",188,240,19,428,"#8181f5"
"Governor","GN0004",193,143,12,336,"#f58181"
"Governor","GN0005",352,160,12,512,"#cc3333"
"Governor","GN0006",92,52,4,144,"#eb4747"
"Governor","GN0007",329,116,16,445,"#aa2222"
"Governor","GN0008",437,120,17,557,"#881111"
"Governor","LP0051",869,493,47,1362,"#eb4747"
"Governor","LP0052",68,83,5,151,"#aaaeff"
"Governor","LP0054",896,162,21,1058,"#660000"
"Governor","LP0055",281,41,4,322,"#660000"
"Governor","LP0056",75,19,3,94,"#881111"
"Governor","LP0057",505,92,8,597,"#660000"
"Governor","LP0058",560,116,20,676,"#660000"
"Governor","LP0059",52,7,0,59,"#660000"
"Governor","LP0060",168,35,10,203,"#660000"
"Governor","LP0062",136,20,0,156,"#660000"
"Governor","LP0064",242,54,11,296,"#660000"
